Date,Country,BondYield,Prices,Returns6M,BondYieldDiff,BondYieldChg,BondYieldChgMedian,BondYieldDiffRank,BondYieldChgRank,BondYieldChgMedianRank
1997-06-30,united kingdom,7.078,,,-0.8140000000000001,-0.10314242270653828,-0.09383826157127212,14.0,16.0,16.0
1997-06-30,canada,6.34,,,-1.3600000000000003,-0.17662337662337668,-0.1670761670761671,7.0,8.0,7.0
1997-06-30,australia,7.055,,,-1.7349999999999994,-0.1973833902161547,-0.1865792020647381,5.0,6.0,5.0
1997-06-30,switzerland,3.341,,,-1.029,-0.23546910755148742,-0.22588080342443198,9.0,3.0,3.0
1997-06-30,france,5.586,,,-0.9079999999999995,-0.1398213735756082,-0.11536751159392662,11.0,11.0,13.0
1997-06-30,germany,5.707,,,-0.798,-0.12267486548808615,-0.11176470588235293,15.0,14.0,14.0
1997-06-30,spain,6.371,,,-2.4479999999999986,-0.2775824923460709,-0.24641401177714015,2.0,1.0,1.0
1997-06-30,sweden,6.642,,,-1.755,-0.20900321543408362,-0.1774519716885743,3.0,4.0,6.0
1997-06-30,netherlands,5.611,,,-0.8250000000000002,-0.12818520820385337,-0.1163939051918736,12.0,12.0,12.0
1997-06-30,south africa,14.55,,,,,,,,
1997-06-30,italy,6.837,,,-2.5760000000000005,-0.27366408158929145,-0.2387395736793328,1.0,2.0,2.0
1997-06-30,belgium,5.78,,,-0.9899999999999993,-0.14623338257016238,-0.143947655398037,10.0,9.0,8.0
1997-06-30,philippines,14.741,,,-1.7300000000000004,-0.1050330884585029,-0.10710084813966449,6.0,15.0,15.0
1997-06-30,austria,5.746,,,-0.8239999999999998,-0.1254185692541857,-0.12291169451073983,13.0,13.0,10.0
1997-06-30,ireland,6.539,,,-1.0830000000000002,-0.14208869063237994,-0.12283786082912723,8.0,10.0,11.0
1997-06-30,new zealand,6.95,,,-1.7499999999999991,-0.20114942528735624,-0.20697811945594313,4.0,5.0,4.0
1997-12-31,united states,5.742,,,-0.6760000000000002,-0.10532876285447179,-0.10073014453881689,9.0,10.0,8.0
1997-12-31,japan,1.94,3083.327,-0.02608870223625326,-0.8250000000000002,-0.29837251356238703,-0.17556927005745906,7.0,1.0,2.0
1997-12-31,united kingdom,6.291,2766.823,0.1569825753219487,-1.221,-0.16253993610223638,-0.1413358027549485,3.0,6.0,3.0
1997-12-31,canada,5.615,1241.861,0.09130007303554888,-0.7949999999999999,-0.12402496099843996,-0.09814814814814814,8.0,9.0,9.0
1997-12-31,australia,6.038,694.037,0.012290411029959536,-1.2809999999999997,-0.1750239103702691,-0.13908794788273612,2.0,4.0,4.0
1997-12-31,switzerland,3.283,3583.87,0.2048631786309214,-0.5800000000000001,-0.1501423763914057,-0.13272311212814647,10.0,7.0,5.0
1997-12-31,france,5.337,1933.905,0.3869947075993907,-0.4090000000000007,-0.07117995127044907,-0.05360419397116654,13.0,12.0,14.0
1997-12-31,germany,5.368,2074.091,0.36487887947057285,-0.4109999999999996,-0.0711195708600103,-0.0580344535441965,12.0,13.0,13.0
1997-12-31,spain,5.592,1104.576,0.4389539515615042,-1.2170000000000005,-0.17873402849170228,-0.12543805400948263,4.0,3.0,7.0
1997-12-31,sweden,5.98,5281.999,0.29070603761946945,-0.8729999999999993,-0.12738946446811605,-0.08963959338741136,6.0,8.0,10.0
1997-12-31,netherlands,5.308,5416.794,0.2282294656211774,-0.36600000000000055,-0.06450475854776183,-0.0518230088495576,15.0,15.0,15.0
1997-12-31,south africa,13.88,,,,,,,,
1997-12-31,italy,5.645,517.398,0.3317214214202604,-1.8960000000000008,-0.2514255403792601,-0.17699775952203145,1.0,2.0,1.0
1997-12-31,belgium,5.441,4083.349,0.433112623976055,-0.43400000000000016,-0.07387234042553192,-0.06410635155096014,11.0,11.0,11.0
1997-12-31,philippines,22.221,,,6.385999999999999,0.40328386485633083,0.40328386485633083,17.0,17.0,17.0
1997-12-31,austria,5.418,1691.201,0.23855827899817927,-0.4089999999999998,-0.07019049253475196,-0.062252663622526606,14.0,14.0,12.0
1997-12-31,ireland,5.556,396.557,0.272049163172003,-1.13,-0.16900987137301826,-0.1281905842314237,5.0,5.0,6.0
1997-12-31,new zealand,7.035,155.059,-0.21182259656001912,-0.16500000000000004,-0.022916666666666696,-0.01959619952494062,16.0,16.0,16.0
1998-06-30,united states,5.446,,,-1.0540000000000003,-0.1621538461538462,-0.15719612229679347,7.0,9.0,6.0
1998-06-30,japan,1.615,3002.887,0.07864698205426968,-1.0240000000000002,-0.38802576733611227,-0.22095155895997415,8.0,1.0,1.0
1998-06-30,united kingdom,5.858,3201.166,0.01815838353899779,-1.2200000000000006,-0.1723650748799097,-0.14278190648955477,6.0,7.0,8.0
1998-06-30,canada,5.355,1355.243,-0.13989004185965181,-0.9849999999999994,-0.15536277602523652,-0.12289457267623198,9.0,10.0,12.0
1998-06-30,australia,5.545,702.567,0.04782177358173656,-1.5099999999999998,-0.21403260099220411,-0.16652881169010197,3.0,5.0,5.0
1998-06-30,switzerland,3.144,4318.073,0.025284658226018886,-0.19700000000000006,-0.05896438192158038,-0.047856188509656276,16.0,16.0,16.0
1998-06-30,france,4.839,2682.316,0.020490501491994273,-0.7469999999999999,-0.13372717508055854,-0.09871159563924677,14.0,14.0,14.0
1998-06-30,germany,4.779,2830.883,-0.051724850514839216,-0.9279999999999999,-0.16260732433853164,-0.13236342889744687,10.0,8.0,10.0
1998-06-30,spain,5.013,1589.434,0.041717366056093,-1.3580000000000005,-0.21315335112227285,-0.14664434965714598,5.0,6.0,7.0
1998-06-30,hong kong,9.999,9726.115,0.31460341564951677,,,,,,
1998-06-30,sweden,4.984,6817.508,-0.11706242222231344,-1.6580000000000004,-0.24962360734718458,-0.17292448894451404,2.0,3.0,4.0
1998-06-30,netherlands,4.827,6653.066,0.0033025375067674556,-0.7839999999999998,-0.13972553911958652,-0.11141111269006676,13.0,13.0,13.0
